Date,Time,Species,Accuarcy
20-04-2025,12:00:32,tiger,93.83%
21-04-2025,12:01:24,book jacket,11.14%
22-04-2025,12:01:49,web site,61.38%
23-04-2025,12:02:33,lion,82.59%
24-04-2025,12:33:32,tabby,42.02%
25-04-2025,12:52:14,tiger cat,14.00%
26-04-2025,12:52:30,tiger,82.52%
27-04-2025,12:52:42,tiger,82.52%
28-04-2025,12:52:56,brassiere,15.06%
29-04-2025,12:53:04,brassiere,15.06%
30-04-2025,12:53:06,brassiere,15.06%
01-05-2025,12:53:15,greenhouse,4.69%
02-05-2025,13:12:57,tiger,88.49%
03-05-2025,13:13:14,cheetah,99.98%
04-05-2025,13:13:29,leopard,77.38%
05-05-2025,13:13:45,jaguar,96.81%
06-05-2025,13:13:58,lion,99.98%
12-05-2025,16:27:33,cheetah,99.70%
2025-04-20,16:32:00,prison,22.18%
2025-04-22,00:00:55,lion,97.99%
2025-04-22,11:27:25,leopard,86.61%
2025-04-22,13:16:24,leopard,86.61%
2025-04-22,13:16:44,jaguar,84.48%
2025-04-22,13:38:20,box turtle,56.68%
2025-04-22,13:38:49,lion,99.87%
2025-04-22,13:39:06,lion,99.87%
2025-04-22,13:39:19,lion,98.01%
2025-04-22,13:46:30,jaguar,98.91%
2025-04-22,13:48:59,web site,29.52%
2025-04-22,13:49:11,web site,29.52%
2025-04-22,13:50:30,lion,83.37%
2025-04-22,13:51:01,lion,83.37%
2025-04-22,13:53:06,Arabian camel,100.00%
2025-04-22,14:11:37,zebra,99.77%
2025-04-22,14:19:49,Shih-Tzu,28.77%
2025-04-22,14:20:27,Shih-Tzu,28.77%
2025-04-22,14:42:10,Shih-Tzu,28.77%
2025-04-22,14:42:44,Shih-Tzu,28.77%
2025-04-22,14:44:13,Shih-Tzu,28.77%
2025-04-22,14:58:11,zebra,99.77%
2025-04-22,14:59:18,zebra,99.77%
2025-04-22,14:59:36,lion,99.98%
2025-04-22,15:00:53,wood rabbit,90.33%
2025-04-22,15:09:43,ox,84.72%
2025-04-22,15:10:31,cock,86.22%
2025-04-22,18:18:10,cock,86.22%
2025-04-22,18:19:53,Zebra,86.22%
2025-04-22,21:37:51,lion,99.32%
2025-04-22,21:38:10,Labrador retriever,83.80%
2025-04-22,21:52:57,cheetah,93.81%
2025-04-22,21:53:13,cheetah,93.81%
2025-04-22,21:53:27,cheetah,93.81%
2025-04-22,21:55:42,alligator lizard,55.70%
2025-04-22,21:57:04,alligator lizard,55.70%
2025-04-22,21:59:28,tiger cat,47.65%
2025-04-22,22:09:41,lion,99.32%
2025-04-22,22:18:22,lion,99.32%
2025-04-22,22:27:18,zebra,99.77%
2025-04-22,22:28:03,zebra,99.77%
2025-04-22,22:31:07,lion,98.96%
2025-04-22,22:31:18,leopard,61.86%
2025-04-22,22:37:28,giant panda,99.89%
2025-04-22,22:40:37,tiger,92.80%
2025-04-22,22:40:52,timber wolf,93.69%
2025-04-22,22:50:28,tiger,71.60%
2025-04-23,09:03:01,tiger,86.96%
2025-04-23,09:06:44,tiger,86.96%
2025-04-23,09:07:06,tiger,86.96%
2025-04-23,09:08:40,tiger,82.70%
2025-04-24,20:29:44,leopard,61.86%
